item,sugar
Artisan Grilled Chicken Sandwich,11
Single Bacon Smokehouse Burger,18
Double Bacon Smokehouse Burger,18
Grilled Bacon Smokehouse Chicken Sandwich,18
Crispy Bacon Smokehouse Chicken Sandwich,18
Big Mac,9
Cheeseburger,7
Classic Chicken Sandwich,6
Double Cheeseburger,7
Double Quarter Pounder® with Cheese,10
Filet-O-Fish®,5
Garlic White Cheddar Burger,11
Grilled Garlic White Cheddar Chicken Sandwich,11
Crispy Garlic White Cheddar Chicken Sandwich,11
Hamburger,6
Lobster Roll,3
Maple Bacon Dijon 1/4 lb Burger,10
Grilled Maple Bacon Dijon Chicken Sandwich,14
Crispy Maple Bacon Dijon Chicken Sandwich,14
McChicken,5
McDouble,7
McRib,12
Pico Guacamole 1/4 lb Burger,7
Grilled Pico Guacamole Chicken Sandwich,12
Crispy Pico Guacamole Chicken Sandwich,12
Premium Buttermilk Crispy Chicken Deluxe Sandwich,11
Premium Crispy Chicken Deluxe Sandwich,13
Quarter Pounder® with Cheese,10
Signature Sriracha Burger,13
Grilled Signature Sriracha Chicken Sandwich,14
Crispy Signature Sriracha Chicken Sandwich,13
Sweet BBQ Bacon 1/4 lb Burger,14
Grilled Sweet BBQ Bacon Chicken Sandwich,18
Crispy Sweet BBQ Bacon Chicken Sandwich,18
3 piece Buttermilk Crispy Chicken Tenders,0
4 piece Buttermilk Crispy Chicken Tenders,1
6 piece Buttermilk Crispy Chicken Tenders,1
10 piece Buttermilk Crispy Chicken Tenders,4
12 piece Buttermilk Crispy Chicken Tenders,2
20 piece Buttermilk Crispy Chicken Tenders,3
4 Piece Chicken McNuggets,0
6 Piece Chicken McNuggets,0
10 Piece Chicken McNuggets,0
20 Piece Chicken McNuggets,0
40 piece Chicken McNuggets,1
4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,35
6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,52
10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,87
Premium Asian Salad w/o Chicken,7
Premium Asian Salad w/ Grilled Chicken,10
Premium Asian Salad w/ Crispy Chicken,4
Premium Bacon Ranch Salad w/o Chicken,3
Premium Bacon Ranch Salad w/ Grilled Chicken,4
Premium Bacon Ranch Salad w/ Crispy Chicken,4
Premium Southwest Salad w/o Chicken,9
Premium Southwest Salad w/ Grilled Chicken,9
Premium Southwest Salad w/ Crispy Chicken,9
Chargrilled Chicken Club Sandwich,7
Chargrilled Chicken Sandwich,7
Chick-n-Slider,4
1 Piece Chick-n-Strips,1
2 Piece Chick-n-Strips,1
3 Piece Chick-n-Strips,3
4 piece Chick-n-Strips,4
Chicken Deluxe,6
4 piece Chicken Nuggets,0
6 piece Chicken Nuggets,0
8 piece Chicken Nuggets,1
12 piece Chicken Nuggets,1
30 piece Chicken Nuggets,1
Chicken Salad Sandwich,12
Chicken Sandwich,5
4 Piece Grilled Chicken Nuggets,0
6 Piece Grilled Chicken Nuggets,0
8 piece Grilled Chicken Nuggets,0
12 Piece Grilled Chicken Nuggets,1
Spicy Grilled Chicken Sub Sandwich,9
Regular Grilled Chicken Sub Sandwich,10
Smokehouse BBQ Bacon Sandwich,10
Spicy Chicken Sandwich,5
Spicy Deluxe,6
Chargrilled Chicken Cool Wrap,3
Chicken Enchiladas Meal Kit,8
Chicken Parmesan Meal Kit,7
Hatch Green Chile Cheeseburger,7
Jalapeno Burger,6
Jr. Burger,6
Jr. Chili Cheeseburger,4
Jr. Deluxe Burger,4
Jr. Deluxe Cheeseburger,4
Jr. Double Cheeseburger,7
Sonic Bacon Cheeseburger (w/mayo),7
Sonic Burger W/ Mustard,7
Sonic Burger W/ Ketchup,10
Sonic Burger W/ Mayonnaise,7
Sonic Cheeseburger W/ Mustard,7
Sonic Cheeseburger W/ Ketchup,10
Sonic Cheeseburger W/ Mayonnaise,7
Super Sonic Bacon Double Cheeseburger (w/mayo),7
Super Sonic Double Cheeseburger W/ Mustard,8
Super Sonic Double Cheeseburger W/ Ketchup,11
Super Sonic Double Cheeseburger W/ Mayo,8
Super Sonic Jalapeno Double Cheeseburger,7
Veggie Burger W/ Ketchup,11
Veggie Burger With Mustard,8
Veggie Burger W/ Mustard,8
Grilled Asiago Caesar Chicken Club Sandwich,8
Crispy Asiago Caesar Chicken Club Sandwich,7
Grilled Chicken Sandwich,6
Crispy Chicken Sandwich,6
Chicken Strip Sandwich,4
3 Piece Crispy Chicken Tender Dinner,0
5 Piece Crispy Chicken Tender Dinner,0
Deluxe Ultimate Chicken Sandwich,12
Buffalo Dunked Ultimate Chicken Sandwich,12
Garlic Parmesan Dunked Ultimate Chicken Sandwich,10
Small Jumbo Popcorn Chicken,1
Large Jumbo Popcorn Chicken,2
Small Spicy Jumbo Popcorn Chicken,0
Large Spicy Jumbo Popcorn Chicken,0
3 Piece Super Crunch Chicken Strip Dinner,9
4 Piece Super Crunch Chicken Strip Dinner,9
5 Piece Super Crunch Chicken Strip Dinner,9
3 Piece Super Crunch Chicken Strips,0
4 Piece Super Crunch Chicken Strips,1
5 Piece Super Crunch Chicken Strips,1
Traditional Ultimate Chicken Sandwich,11
Ultimate Chicken Club,12
"All Beef All-american Style Dog – 6""",15
"All Beef Chicago Dog – 6""",17
"All Beef Chili Cheese Coney – 6""",4
"All Beef New York Dog – 6""",4
"All Beef Regular Hot Dog – 6""",3
Cheesy Bacon Pretzel Dog - 6 In.,7
Corn Dog,4
Footlong Quarter Pound Coney,9
The Original Pretzel Dog,2
Arby's Melt,5
Arby-Q Sandwich,23
Beef 'n Cheddar Classic,9
Beef 'n Cheddar Mid,9
Bourbon BBQ Brisket Sandwich,15
Bourbon BBQ Chicken Sandwich,16
Bourbon BBQ Steak Sandwich,16
Buttermilk Buffalo Chicken Sandwich,6
Buttermilk Chicken Bacon & Swiss,9
Buttermilk Chicken Cordon Bleu Sandwich,7
Buttermilk Crispy Chicken Sandwich,6
Classic French Dip & Swiss/Au Jus,3
Classic Roast Beef,5
Double Roast Beef,5
Fire-Roasted Philly Steak,4
Grand Turkey Club,9
Greek Gyro,6
Half Pound Beef 'n Cheddar Sandwich,9
Half Pound French Dip & Swiss,3
Half Pound Roast Beef Sandwich,5
Ham & Swiss Melt,6
Loaded Italian Sandwich,7
Pecan Chicken Salad Flatbread,9
Pecan Chicken Salad Sandwich,20
2 piece Prime-Cut Chicken Tenders,0
3 piece Prime-Cut Chicken Tenders,0
5 piece Prime-Cut Chicken Tenders,0
Reuben Sandwich,5
Roast Beef Gyro,5
Roast Turkey & Swiss Sandwich,15
Roast Turkey & Swiss Wrap,6
"Roast Turkey,5
"Roast Turkey,4
Smoke Mountain w/ Beef Short Rib,17
Smokehouse Beef Short Rib Sandwich,14
Smokehouse Brisket,7
Super Roast Beef,11
Three Cheese Steak Sandwich,9
Triple Decker Sandwich,19
Turkey Avocado Club,16
Turkey Gyro,5
Ultimate BLT,19
Buffalo Chicken Slider,2
Chicken Tender 'n Cheese Slider,1
Corned Beef 'n Cheese Slider,1
Ham 'n Cheese Slider,2
Jalapeno Roast Beef 'n Cheese Slider,1
Pizza Slider,2
Roast Beef 'n Cheese Slider,1
Turkey 'n Cheese Slider,2
Chopped Side Salad,2
Crispy Chicken Farmhouse Salad,4
Greek Gyro Salad,4
Roast Turkey Farmhouse Salad,5
Super Greek Salad,7
American Brewhouse King,7
Bacon & Swiss Sourdough King,8
Bacon Cheeseburger,7
Bacon Cheeseburger Deluxe,7
Bacon King,10
Bacon King Jr,16
BBQ Bacon King,13
Cheeseburger,6
Double Bacon Cheeseburger,8
Double Cheeseburger,6
Double Hamburger,6
Double Quarter Pound King,11
