Beverage,Beverage_prep, Sugars (g)
Brewed Coffee,Short,0
Brewed Coffee,Tall,0
Brewed Coffee,Grande,0
Brewed Coffee,Venti,0
Caffè Latte,Short Nonfat Milk,9
Caffè Latte,2% Milk,9
Caffè Latte,Soymilk,4
Caffè Latte,Tall Nonfat Milk,14
Caffè Latte,2% Milk,14
Caffè Latte,Soymilk,6
Caffè Latte,Grande Nonfat Milk,18
Caffè Latte,2% Milk,17
Caffè Latte,Soymilk,8
Caffè Latte,Venti Nonfat Milk,23
Caffè Latte,2% Milk,22
Caffè Latte,Soymilk,11
Caffè Mocha (Without Whipped Cream),Short Nonfat Milk,17
Caffè Mocha (Without Whipped Cream),2% Milk,17
Caffè Mocha (Without Whipped Cream),Soymilk,13
Caffè Mocha (Without Whipped Cream),Tall Nonfat Milk,27
Caffè Mocha (Without Whipped Cream),2% Milk,26
Caffè Mocha (Without Whipped Cream),Soymilk,20
Caffè Mocha (Without Whipped Cream),Grande Nonfat Milk,34
Caffè Mocha (Without Whipped Cream),2% Milk,34
Caffè Mocha (Without Whipped Cream),Soymilk,26
Caffè Mocha (Without Whipped Cream),Venti Nonfat Milk,44
Caffè Mocha (Without Whipped Cream),2% Milk,43
Caffè Mocha (Without Whipped Cream),Soymilk,33
Vanilla Latte (Or Other Flavoured Latte),Short Nonfat Milk,18
Vanilla Latte (Or Other Flavoured Latte),2% Milk,17
Vanilla Latte (Or Other Flavoured Latte),Soymilk,13
Vanilla Latte (Or Other Flavoured Latte),Tall Nonfat Milk,27
Vanilla Latte (Or Other Flavoured Latte),2% Milk,27
Vanilla Latte (Or Other Flavoured Latte),Soymilk,20
Vanilla Latte (Or Other Flavoured Latte),Grande Nonfat Milk,35
Vanilla Latte (Or Other Flavoured Latte),2% Milk,35
Vanilla Latte (Or Other Flavoured Latte),Soymilk,26
Vanilla Latte (Or Other Flavoured Latte),Venti Nonfat Milk,45
Vanilla Latte (Or Other Flavoured Latte),2% Milk,44
Vanilla Latte (Or Other Flavoured Latte),Soymilk,33
Caffè Americano,Short,0
Caffè Americano,Tall,0
Caffè Americano,Grande,0
Caffè Americano,Venti,0
Cappuccino,Short Nonfat Milk,7
Cappuccino,2% Milk,7
Cappuccino,Soymilk,3
Cappuccino,Tall Nonfat Milk,8
Cappuccino,2% Milk,8
Cappuccino,Soymilk,4
Cappuccino,Grande Nonfat Milk,10
Cappuccino,2% Milk,10
Cappuccino,Soymilk,5
