id,name,sugar
1,Egg McMuffin,3
2,Egg White Delight,3
3,Sausage McMuffin,2
4,Sausage McMuffin with Egg,2
5,Sausage McMuffin with Egg Whites,2
6,Steak & Egg McMuffin,3
7,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",3
8,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",4
9,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",3
10,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",4
11,Sausage Biscuit (Regular Biscuit),2
12,Sausage Biscuit (Large Biscuit),3
13,Sausage Biscuit with Egg (Regular Biscuit),2
14,Sausage Biscuit with Egg (Large Biscuit),3
15,Sausage Biscuit with Egg Whites (Regular Biscuit),3
16,Sausage Biscuit with Egg Whites (Large Biscuit),3
17,Southern Style Chicken Biscuit (Regular Biscuit),3
18,Southern Style Chicken Biscuit (Large Biscuit),4
19,Steak & Egg Biscuit (Regular Biscuit),3
20,"Bacon, Egg & Cheese McGriddles",15
21,"Bacon, Egg & Cheese McGriddles with Egg Whites",16
22,Sausage McGriddles,15
23,"Sausage, Egg & Cheese McGriddles",15
24,"Sausage, Egg & Cheese McGriddles with Egg Whites",15
25,"Bacon, Egg & Cheese Bagel",7
26,"Bacon, Egg & Cheese Bagel with Egg Whites",8
27,"Steak, Egg & Cheese Bagel",7
28,Big Breakfast (Regular Biscuit),3
29,Big Breakfast (Large Biscuit),3
30,Big Breakfast with Egg Whites (Regular Biscuit),3
31,Big Breakfast with Egg Whites (Large Biscuit),4
32,Big Breakfast with Hotcakes (Regular Biscuit),17
33,Big Breakfast with Hotcakes (Large Biscuit),17
34,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),17
35,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),18
36,Hotcakes,14
37,Hotcakes and Sausage,14
38,Sausage Burrito,2
39,Hash Brown,0
40,Cinnamon Melts,32
41,Fruit & Maple Oatmeal,32
42,Fruit & Maple Oatmeal without Brown Sugar,18
43,Big Mac,9
44,Quarter Pounder with Cheese,10
45,Quarter Pounder with Bacon & Cheese,12
46,Quarter Pounder with Bacon Habanero Ranch,10
47,Quarter Pounder Deluxe,9
48,Double Quarter Pounder with Cheese,10
49,Hamburger,6
50,Cheeseburger,7
51,Double Cheeseburger,7
52,Bacon Clubhouse Burger,14
53,McDouble,7
54,Bacon McDouble,7
55,Daily Double,7
56,Jalapeño Double,6
57,McRib,11
58,Premium Crispy Chicken Classic Sandwich,10
59,Premium Grilled Chicken Classic Sandwich,8
60,Premium Crispy Chicken Club Sandwich,11
61,Premium Grilled Chicken Club Sandwich,9
